Object_Label,Origin,Section,tissue_area_px
GtElk_treatment_midbrain_4x_12.tif,Elk,midbrain,15410025
GtElk_treatment_midbrain_4x_13.tif,Elk,midbrain,41948825
GtElk_treatment_midbrain_4x_14.tif,Elk,midbrain,27535750
GtElk_treatment_midbrain_4x_15.tif,Elk,midbrain,31929975
GtElk_treatment_midbrain_4x_16.tif,Elk,midbrain,38745725
GtElk_treatment_midbrain_4x_17.tif,Elk,midbrain,42397100
GtElk_treatment_midbrain_4x_18.tif,Elk,midbrain,41258300
GtElk_treatment_midbrain_4x_19.tif,Elk,midbrain,30971900
GtElk_treatment_midbrain_4x_20.tif,Elk,midbrain,46244225
GtElk_treatment_midbrain_4x_21.tif,Elk,midbrain,76323650
GtElk_treatment_midbrain_4x_22.tif,Elk,midbrain,89602425
GtElk_treatment_midbrain_4x_23.tif,Elk,midbrain,94968075
GtElk_treatment_midbrain_4x_24.tif,Elk,midbrain,58550550
GtElk_treatment_midbrain_4x_25.tif,Elk,midbrain,60088825
GtElk_treatment_midbrain_4x_26.tif,Elk,midbrain,36148350
GtElk_treatment_midbrain_4x_27.tif,Elk,midbrain,49192900
GtElk_treatment_midbrain_4x_28.tif,Elk,midbrain,16095600
GtElk_treatment_midbrain_4x_29.tif,Elk,midbrain,88138575
GtElk_treatment_midbrain_4x_30.tif,Elk,midbrain,79342500
GtElk_treatment_midbrain_4x_31.tif,Elk,midbrain,49118750
GtElk_treatment_midbrain_4x_32.tif,Elk,midbrain,73078950
GtElk_treatment_midbrain_4x_33.tif,Elk,midbrain,72622200
GtElk_treatment_midbrain_4x_34.tif,Elk,midbrain,56276100
GtElk_treatment_midbrain_4x_35.tif,Elk,midbrain,54512725
GtElk_treatment_midbrain_4x_36.tif,Elk,midbrain,61897700
GtElk_treatment_midbrain_4x_37.tif,Elk,midbrain,47590950
GtElk_treatment_septum_4x_01.tif,Elk,septum,26319725
GtElk_treatment_septum_4x_02.tif,Elk,septum,36222800
GtElk_treatment_septum_4x_03.tif,Elk,septum,44419425
GtElk_treatment_septum_4x_04.tif,Elk,septum,38163050
GtElk_treatment_septum_4x_05.tif,Elk,septum,31852875
GtElk_treatment_septum_4x_06.tif,Elk,septum,43100050
GtElk_treatment_septum_4x_07.tif,Elk,septum,12154500
GtElk_treatment_septum_4x_08.tif,Elk,septum,30688500
GtElk_treatment_septum_4x_09.tif,Elk,septum,35550150
GtElk_treatment_septum_4x_10.tif,Elk,septum,34722875
GtElk_treatment_septum_4x_11.tif,Elk,septum,39641375
GtElk_treatment_septum_4x_12.tif,Elk,septum,26983100
GtElk_treatment_septum_4x_13.tif,Elk,septum,20421250
GtElk_treatment_septum_4x_14.tif,Elk,septum,22841875
GtElk_treatment_septum_4x_15.tif,Elk,septum,16089350
GtElk_treatment_septum_4x_16.tif,Elk,septum,23194375
GtElk_treatment_septum_4x_17.tif,Elk,septum,16294425
GtElk_treatment_septum_4x_18.tif,Elk,septum,37881000
GtElk_treatment_septum_4x_19.tif,Elk,septum,51892575
GtElk_treatment_septum_4x_20.tif,Elk,septum,45916300
GtElk_treatment_septum_4x_21.tif,Elk,septum,72356650
GtElk_treatment_septum_4x_22.tif,Elk,septum,67187825
GtElk_treatment_septum_4x_23.tif,Elk,septum,28022275
GtElk_treatment_septum_4x_24.tif,Elk,septum,28092150
GtElk_treatment_septum_4x_25.tif,Elk,septum,35126150
GtElk_treatment_septum_4x_26.tif,Elk,septum,13460175
GtElk_treatment_septum_4x_27.tif,Elk,septum,53406275
GtElk_treatment_septum_4x_28.tif,Elk,septum,39236875
GtElk_treatment_septum_4x_29.tif,Elk,septum,40626900
GtElk_treatment_septum_4x_30.tif,Elk,septum,49794500
GtElk_treatment_septum_4x_31.tif,Elk,septum,41377250
GtElk_treatment_septum_4x_32.tif,Elk,septum,62683350
GtElk_treatment_septum_4x_33.tif,Elk,septum,41073650
GtElk_treatment_septum_4x_34.tif,Elk,septum,41660175
GtElk_treatment_septum_4x_35.tif,Elk,septum,47289000
GtElk_treatment_septum_4x_36.tif,Elk,septum,40935350
GtElk_treatment_septum_4x_37.tif,Elk,septum,49681850
GtDeer_treatment_cerebellum_4x_01.tif,Deer,cerebellum,35988475
GtDeer_treatment_cerebellum_4x_02.tif,Deer,cerebellum,38204700
GtDeer_treatment_cerebellum_4x_03.tif,Deer,cerebellum,62316950
GtDeer_treatment_cerebellum_4x_04.tif,Deer,cerebellum,36124800
GtDeer_treatment_cerebellum_4x_05.tif,Deer,cerebellum,32546125
GtDeer_treatment_cerebellum_4x_06.tif,Deer,cerebellum,61669275
GtDeer_treatment_cerebellum_4x_07.tif,Deer,cerebellum,49378825
GtDeer_treatment_cerebellum_4x_08.tif,Deer,cerebellum,45537300
GtDeer_treatment_cerebellum_4x_09.tif,Deer,cerebellum,44040650
GtDeer_treatment_cerebellum_4x_10.tif,Deer,cerebellum,40232500
GtDeer_treatment_cerebellum_4x_100.tif,Deer,cerebellum,45583425
GtDeer_treatment_cerebellum_4x_101.tif,Deer,cerebellum,29715775
GtDeer_treatment_cerebellum_4x_102.tif,Deer,cerebellum,36083425
GtDeer_treatment_cerebellum_4x_103.tif,Deer,cerebellum,50562175
GtDeer_treatment_cerebellum_4x_104.tif,Deer,cerebellum,44571450
GtDeer_treatment_cerebellum_4x_105.tif,Deer,cerebellum,44124775
GtDeer_treatment_cerebellum_4x_106.tif,Deer,cerebellum,51825725
GtDeer_treatment_cerebellum_4x_107.tif,Deer,cerebellum,32549700
GtDeer_treatment_cerebellum_4x_108.tif,Deer,cerebellum,34356250
GtDeer_treatment_cerebellum_4x_109.tif,Deer,cerebellum,42487475
GtDeer_treatment_cerebellum_4x_11.tif,Deer,cerebellum,35845075
GtDeer_treatment_cerebellum_4x_110.tif,Deer,cerebellum,45100225
GtDeer_treatment_cerebellum_4x_111.tif,Deer,cerebellum,40022400
GtDeer_treatment_cerebellum_4x_112.tif,Deer,cerebellum,31301725
GtDeer_treatment_cerebellum_4x_113.tif,Deer,cerebellum,31393875
GtDeer_treatment_cerebellum_4x_114.tif,Deer,cerebellum,32866275
GtDeer_treatment_cerebellum_4x_115.tif,Deer,cerebellum,44249525
GtDeer_treatment_cerebellum_4x_116.tif,Deer,cerebellum,40803550
GtDeer_treatment_cerebellum_4x_117.tif,Deer,cerebellum,43707350
GtDeer_treatment_cerebellum_4x_118.tif,Deer,cerebellum,34844850
GtDeer_treatment_cerebellum_4x_119.tif,Deer,cerebellum,36213700
GtDeer_treatment_cerebellum_4x_12.tif,Deer,cerebellum,33405075
GtDeer_treatment_cerebellum_4x_120.tif,Deer,cerebellum,49210750
GtDeer_treatment_cerebellum_4x_121.tif,Deer,cerebellum,46086575
GtDeer_treatment_cerebellum_4x_122.tif,Deer,cerebellum,47411975
GtDeer_treatment_cerebellum_4x_123.tif,Deer,cerebellum,44510175
GtDeer_treatment_cerebellum_4x_124.tif,Deer,cerebellum,62015600
GtDeer_treatment_cerebellum_4x_125.tif,Deer,cerebellum,50993025
GtDeer_treatment_cerebellum_4x_126.tif,Deer,cerebellum,39770650
GtDeer_treatment_cerebellum_4x_13.tif,Deer,cerebellum,32125200
GtDeer_treatment_cerebellum_4x_14.tif,Deer,cerebellum,23787075
GtDeer_treatment_cerebellum_4x_15.tif,Deer,cerebellum,97292725
GtDeer_treatment_cerebellum_4x_16.tif,Deer,cerebellum,32597900
GtDeer_treatment_cerebellum_4x_17.tif,Deer,cerebellum,29503575
GtDeer_treatment_cerebellum_4x_18.tif,Deer,cerebellum,33138000
GtDeer_treatment_cerebellum_4x_19.tif,Deer,cerebellum,29353050
GtDeer_treatment_cerebellum_4x_20.tif,Deer,cerebellum,21496675
